restaurant_name_clean,combined_cost_deliveroo,combined_cost_takeaway,delivery_fee_deliveroo,delivery_fee_takeaway,min_order_deliveroo,min_order_takeaway,rating_deliveroo,rating_takeaway,rating_count_deliveroo,rating_count_takeaway,total_delivery_time_deliveroo,total_delivery_time_takeaway,weighted_rating_deliveroo,weighted_rating_takeaway
smash.b,9.99,12.49,4.99,2.49,5.0,10.0,4.5,4.4,169.0,26.0,33.25,60.0,4.385844748858448,4.136842105263158
snack délice halal,9.99,32.99,4.99,2.99,5.0,30.0,4.3,4.2,49.0,264.0,34.25,32.5,4.148484848484848,4.168152866242038
snack house,9.99,35.0,4.99,0.0,5.0,35.0,3.8,4.5,190.0,655.0,26.31,52.5,3.841666666666667,4.464539007092198
snack istanbul,9.99,26.795,4.99,2.795,5.0,24.0,4.0,4.25,500.0,191.0,30.98,43.75,4.0,4.130721220527046
snack nakhil,15.0,23.59,10.0,5.59,5.0,18.0,3.6,3.5,14.0,18.0,26.84,45.0,3.9125,3.8676470588235294
solav kebab,9.99,80.0,4.99,0.0,5.0,80.0,4.0,3.5,157.0,157.0,26.28,47.5,4.0,3.6207729468599035
stamcafé,9.99,23.59,4.99,5.59,5.0,18.0,4.4,4.0,56.0,9.0,30.95,50.0,4.211320754716981,4.0
star kebab,9.99,13.5,4.99,0.0,5.0,13.5,4.1,4.1,16.0,139.0,45.47,32.5,4.024242424242424,4.073544973544974
subway,9.99,12.99,4.99,2.99,5.0,10.0,4.3,3.9,500.0,41.5,43.92,40.0,4.2727272727272725,3.9528673835125447
sushi buzz,9.99,36.99,4.99,1.99,5.0,35.0,4.6,4.3,148.0,91.0,50.88,57.5,4.448484848484848,4.193617021276595
sushi corner,9.99,37.5,4.99,0.0,5.0,37.5,4.2,4.1,29.0,1119.5,50.0,47.5,4.073417721518988,4.097070884592853
sushi hungry eye,9.99,10.0,4.99,0.0,5.0,10.0,4.5,3.1,309.0,1006.0,53.58,77.5,4.430362116991644,3.1426136363636363
sushi katelijne,9.99,15.49,4.99,3.49,5.0,12.0,4.3,4.3,323.0,105.0,32.4,40.0,4.259785522788204,4.203225806451613
sushi kinzi,9.99,23.59,4.99,5.59,5.0,18.0,4.1,4.0,10.0,9.0,42.59,55.0,4.016666666666667,4.0
sushi land,9.99,40.0,4.99,0.0,5.0,40.0,4.4,4.3,25.0,368.0,60.0,62.5,4.133333333333334,4.264114832535885
sushi leuven,9.99,20.0,4.99,0.0,5.0,20.0,4.5,3.9,500.0,530.0,76.67,90.0,4.454545454545454,3.9086206896551725
sushi mama,9.99,20.0,4.99,0.0,5.0,20.0,4.3,4.6,500.0,2203.0,32.97,42.5,4.2727272727272725,4.586684420772303
sushi palace,9.99,45.92,4.99,3.42,5.0,42.5,4.3,4.4,500.0,482.0,17.72,46.25,4.2727272727272725,4.314524650297008
sushi paradijs,18.99,57.0,4.99,7.0,14.0,50.0,4.4,4.6,193.0,118.0,36.81,37.5,4.317695473251029,4.421428571428571
sushi plaza,9.99,23.59,4.99,5.59,5.0,18.0,4.2,3.8,459.0,169.0,25.89,45.0,4.180353634577603,3.8456621004566207
sushi shop,9.99,22.63,4.99,0.9966666666666667,5.0,21.633333333333336,4.199999999999999,4.133333333333334,159.0,69.66666666666667,34.115,45.0,4.1550983436852995,4.006837302997986
sushiline,9.99,35.0,4.99,0.0,5.0,35.0,4.5,4.9,63.0,3036.0,55.34,42.5,4.278761061946903,4.885418016850292
sushimi,9.99,30.0,4.99,0.0,5.0,30.0,3.8,4.2,12.0,99.0,41.98,52.5,3.9612903225806453,4.1328859060402685
t'more enjoy,9.99,12.99,4.99,2.99,5.0,10.0,4.6,4.6,144.0,43.0,31.82,40.0,4.445360824742268,4.27741935483871
tabi loo,9.99,12.99,4.99,2.99,5.0,10.0,4.7,4.7,253.0,60.0,31.96,45.0,4.584488448844885,4.381818181818182
taboulé,9.99,22.99,4.99,4.99,5.0,18.0,4.4,4.5,276.0,81.0,50.14,40.0,4.338650306748467,4.309160305343512
taj mahal,9.99,28.2475,4.99,0.7475,5.0,27.5,4.1,3.9749999999999996,62.0,478.25,44.71,45.625,4.055357142857143,3.9831119897868716
takumi ramen kitchen,9.99,19.54,4.99,4.54,5.0,15.0,4.5,4.3,500.0,178.5,24.6,57.5,4.454545454545454,4.242436172751134
tantuni,9.99,23.59,4.99,5.59,5.0,18.0,4.4,4.4,8.0,55.0,36.26,50.0,4.055172413793104,4.20952380952381
taste of asia,9.99,20.0,4.99,2.0,5.0,18.0,4.4,4.5,500.0,264.0,35.22,42.5,4.363636363636363,4.420382165605096
taste of india,13.995000000000001,24.295,3.995,2.795,10.0,21.5,4.6,3.8,381.5,326.5,34.32,43.75,4.529218201502575,3.8049800796812745
tasty thai express,9.99,15.49,4.99,3.49,5.0,12.0,4.3,3.3,152.0,4.0,47.16,50.0,4.225742574257426,3.9481481481481477
taverne fonske,9.99,12.99,4.99,2.99,5.0,10.0,4.2,4.6,116.0,196.0,36.8,40.0,4.139759036144579,4.478048780487804
thai café,9.99,30.0,4.99,0.0,5.0,30.0,4.3,3.9,353.0,357.0,49.21333333333333,62.5,4.235946622185154,3.9122850122850124
thai house,9.99,12.99,4.99,2.99,5.0,10.0,4.4,4.1,500.0,154.0,26.54,40.0,4.363636363636363,4.075490196078431
thai spice chili,9.99,19.84,4.99,4.84,5.0,15.0,4.3,4.0,210.0,148.0,37.97,50.0,4.242307692307692,4.0
thai time,9.99,15.49,4.99,3.49,5.0,12.0,4.4,4.7,282.0,138.0,39.84,45.0,4.339759036144579,4.513829787234043
the burgery hasselt,19.99,15.0,4.99,0.0,15.0,15.0,3.8,4.4,249.0,110.0,38.5,42.5,3.833444816053511,4.275
the rolling dogs,9.99,12.99,4.99,2.99,5.0,10.0,4.4,4.3,94.0,23.0,28.39,35.0,4.261111111111111,4.094520547945205
tikka masala house,9.99,10.0,4.99,0.0,5.0,10.0,4.1,3.8,15.0,28.0,34.02,62.5,4.023076923076923,3.928205128205128
toshi sushi,9.99,20.0,4.99,0.0,5.0,20.0,4.2,4.2,34.0,265.0,43.88,57.5,4.080952380952381,4.1682539682539685
tota empanadas,9.99,23.59,4.99,5.59,5.0,18.0,4.7,4.5,329.0,130.0,26.5,40.0,4.6076517150395775,4.361111111111111
tota empanadas 2,9.99,23.59,4.99,5.59,5.0,18.0,4.6,3.3,137.0,5.0,34.6,50.0,4.439572192513369,3.9363636363636365
umi sushi,9.99,20.0,4.99,0.0,5.0,20.0,4.3,3.9,500.0,877.0,37.36,62.5,4.2727272727272725,3.9053937432578207
uniq kebab,9.99,12.99,4.99,2.99,5.0,10.0,4.2,4.5,17.0,20.0,36.21,40.0,4.050746268656716,4.142857142857143
uzume sushi overpoort,9.99,33.0,4.99,3.0,5.0,30.0,4.4,2.8,500.0,3.0,32.63,90.0,4.363636363636363,3.9320754716981132
vers-zuid,9.99,23.59,4.99,5.59,5.0,18.0,4.5,3.9,500.0,35.0,45.61,55.0,4.454545454545454,3.958823529411765
